hs6,hs_section_name,weight_2014
283990,Chemicals,5.083000471901581e-05
284020,Chemicals,0.0004344024556542467
284170,Chemicals,0.0005385241981614853
284180,Chemicals,0.004789520754875174
284190,Chemicals,0.0009177926553385846
284210,Chemicals,0.00029963341194474334
284290,Chemicals,0.0018332053164995953
284329,Chemicals,1.5649436950748936e-06
284390,Chemicals,1.1171336164665578e-05
284440,Chemicals,0.0002864595260812928
284700,Chemicals,1.2244252123239646e-05
284920,Chemicals,0.006599448238097991
284990,Chemicals,0.006172463400847656
285000,Chemicals,0.0011084536689637723
290110,Chemicals,0.00038711549706631367
290124,Chemicals,0.012549108214560704
290129,Chemicals,0.00019533437363614736
290219,Chemicals,0.0030665551615390095
290220,Chemicals,1.2239256378237368e-05
290250,Chemicals,3.559734045239298e-07
290323,Chemicals,6.543001634194607e-05
290410,Chemicals,0.0006444372872756042
290512,Chemicals,0.00010044189799705096
290514,Chemicals,0.000183488930773515
290517,Chemicals,0.00042543264864888233
290519,Chemicals,0.0006314149744413715
290522,Chemicals,0.0008862568555730426
290529,Chemicals,0.0005429665846854248
290531,Chemicals,4.3696824902892665e-06
290532,Chemicals,0.00039739801579036146
290539,Chemicals,0.000711000699978386
290544,Chemicals,1.815432475337985e-05
290619,Chemicals,0.0011339090093068626
290629,Chemicals,0.0007546849823725495
290713,Chemicals,1.578485352804469e-05
290719,Chemicals,0.0005290667214099412
290729,Chemicals,0.0012033738869314983
290911,Chemicals,3.122787054699743e-05
290919,Chemicals,0.0030922028912109107
290930,Chemicals,0.0030663816922657395
290941,Chemicals,6.587474393959555e-06
290943,Chemicals,1.4486278704793317e-05
290944,Chemicals,3.6364878211147026e-05
290949,Chemicals,0.0016604708429141728
290950,Chemicals,0.00028793677850771075
290960,Chemicals,0.0034103204533716316
291100,Chemicals,0.00014896748246820806
291219,Chemicals,0.0019687179821673098
291221,Chemicals,0.001386976019160916
291229,Chemicals,0.0014111289581526679
291241,Chemicals,0.0035619002853062424
291411,Chemicals,2.179973051078585e-05
291413,Chemicals,4.951527344384218e-06
291419,Chemicals,0.0010156177395864642
291422,Chemicals,0.0005609573253630918
291423,Chemicals,0.00034343546637002437
291429,Chemicals,0.0026934164834797043
291450,Chemicals,0.004895063521104443
291469,Chemicals,0.013225121692731656
291470,Chemicals,0.0014594120895525442
291512,Chemicals,0.0010147573022291573
291513,Chemicals,0.00023763642905138313
291521,Chemicals,0.0003402901665750803
291524,Chemicals,3.946638551798601e-06
291529,Chemicals,0.0009541757095581442
291531,Chemicals,0.0002114437380044463
291539,Chemicals,0.002980952433170317
291550,Chemicals,0.0003950093056321452
291560,Chemicals,0.0013676636381990297
291570,Chemicals,5.398168206077127e-05
291590,Chemicals,0.0014722361669733887
291611,Chemicals,0.0005759387142853448
291612,Chemicals,0.0032582437042479634
291613,Chemicals,0.0002704527339242108
291614,Chemicals,0.0008212064095588226
291619,Chemicals,0.011179351252913272
291620,Chemicals,0.0038159035190322124
291631,Chemicals,0.001957665055788443
291632,Chemicals,2.321841579898558e-05
291639,Chemicals,0.00594765806451861
291711,Chemicals,0.000590508964023155
291712,Chemicals,0.0004017582382528804
291719,Chemicals,0.006821558104267191
291732,Chemicals,2.086573878025382e-05
291733,Chemicals,0.0001632806107770714
291734,Chemicals,0.000144639998079321
291736,Chemicals,0.00041368765214852977
291739,Chemicals,0.004618143104373881
291811,Chemicals,0.00032998734599368293
291812,Chemicals,0.00137153480911356
291814,Chemicals,0.0010286494061560202
291815,Chemicals,0.000386962967405074
291816,Chemicals,0.0009040126899431556
291821,Chemicals,0.00036593608927538496
291823,Chemicals,0.0026824542245580062
291829,Chemicals,0.004582599760484491
291830,Chemicals,0.001865461991639721
292090,Chemicals,0.004041476074242672
292111,Chemicals,0.00032855122874419866
292119,Chemicals,0.00435117633753679
292129,Chemicals,0.0005137817612594648
292130,Chemicals,0.0013437397594302544
292144,Chemicals,0.0010122439110307776
292145,Chemicals,0.00029832357012212515
292149,Chemicals,0.0004664822601628026
292159,Chemicals,0.004337900729801698
292211,Chemicals,5.208223603543755e-06
292219,Chemicals,0.0028480909137121087
292249,Chemicals,0.016481844033187757
292310,Chemicals,0.0031938138998309417
292390,Chemicals,0.003095016345986768
292421,Chemicals,0.00042770709442672733
292429,Chemicals,0.0163488168038049
292620,Chemicals,0.001440524772085639
292690,Chemicals,0.013912025469837783
292700,Chemicals,0.0016585304742967992
292800,Chemicals,0.0020181020907317306
292910,Chemicals,0.0062666442485550455
293020,Chemicals,0.0011966509959602432
293030,Chemicals,0.0004837403270042847
293090,Chemicals,0.02428075395841823
293219,Chemicals,0.0056830880860656964
293319,Chemicals,0.002706710373515656
293329,Chemicals,0.0014329273068616447
293339,Chemicals,0.03215205828740116
293359,Chemicals,0.010956091621346422
293369,Chemicals,0.016737166037301878
293379,Chemicals,0.0040675876641526575
293410,Chemicals,0.0034199889206301868
293420,Chemicals,0.008679316763405848
293500,Chemicals,0.025353924274817623
293690,Chemicals,0.0008749693417639623
293722,Chemicals,0.00020123955681373211
293729,Chemicals,0.002642209565744134
293890,Chemicals,0.0075142326046056295
293930,Chemicals,0.004403039079669468
294000,Chemicals,0.0019477408489027498
294110,Chemicals,0.002405632978680361
294190,Chemicals,0.012390346627161755
300190,Chemicals,0.018377378602769587
300290,Chemicals,0.00033178879038301453
300390,Chemicals,0.00532889104091364
300420,Chemicals,0.001760376708101724
300432,Chemicals,1.596714507440436e-05
300439,Chemicals,0.0005246610057801675
300450,Chemicals,7.863759691105026e-05
300490,Chemicals,0.017159286719599147
300510,Chemicals,0.011040943287285622
300590,Chemicals,0.029094276398133275
300610,Chemicals,0.00023743341047788633
300640,Chemicals,0.0002738706738453429
300650,Chemicals,0.002041794358258804
310100,Chemicals,9.619625879224375e-05
310210,Chemicals,0.031159099440173425
310221,Chemicals,0.006401070286538541
